DataSeries,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
        Foreign Affairs,561.2,520.3,488.1,465.9,417.8,397.6,435.6,444.2,435.2,438.9,446.7,393.7,382.3,355.4,343.8,359.6,342.6,344.2,311.3,257.1,266.8,232.9,212.5,211.3,196,180.3,153.2,147.7,143.3
    Economic Development,6861.5,6241.7,6748.3,11072.1,10676.2,10351.5,4488.2,4207.1,3574.5,2997.7,2631.8,2223.7,2027.3,1869.8,1674.6,1666.3,1564.8,1283.6,1110.5,984,918.9,884.3,995.1,1133.3,1113.3,2908.4,865.3,893.3,707.7
        Transport,2798,2536.5,2538.6,3692.3,3737.9,2944.8,1944.6,1899.6,1607.3,953.1,782.9,597.7,554.9,501.9,463.8,455.8,370.6,366.9,320.9,284.9,277,289.4,292.4,385.3,406.2,2390.1,408.9,442.3,314.4
        Trade And Industry,1638.2,1608,1568.4,2757.4,1986,2509.4,1116,993.1,943.5,920.8,783.4,728.5,709.6,685.4,670.8,683.6,704.2,659.5,528,473.2,436.4,391.7,496.8,563.6,553,411.6,365.7,314.5,340.6
        Manpower (Excluding Financial Security),1213.7,1108.3,1522.9,3766.8,4187.3,4166.3,892.4,697,645.4,634.2,611.1,519.8,495.9,455.9,379.9,439.1,413.8,223.7,224.9,188.4,166.4,161.1,158.5,155.9,129.8,106.8,90.7,136.4,52.6
        Digital Development And Information,1211.5,988.9,1118.3,855.4,765,731,535.1,617.3,378.3,489.6,454.4,377.7,267,226.6,160.1,87.7,76.2,33.5,36.7,37.5,39.1,42.1,47.5,28.5,24.3,na,na,na,na
    Government Administration,4305.4,3458.8,3231.2,2908.3,2740.7,2294.9,2323.5,2179.3,2143.9,1819.4,1704.6,1560,1521.1,1377.8,1331.1,1225.1,1107.4,1030.5,967.4,880.4,767.6,743,746.8,811.7,787.6,811.5,692.1,664,657.6
        Finance,1421.6,1235.2,1187.5,1001.6,951.2,904.5,851.5,828,833.4,824.5,739.6,681.8,711.4,630.8,616.9,552.4,528,484.1,438.1,427.9,345.5,317.8,333.4,379.4,352,388.1,338.6,309.8,297.7
        Law,315.4,277.8,258.7,211.5,207,196.2,217.7,184.6,184.6,180.5,173.9,176.8,167.3,162.7,122.9,119.2,126.8,118,106.6,105.9,100,97.1,95.6,102.6,111.6,119.5,109,96.6,88.6
        Organs Of State,1108.6,613.4,1116.8,659.1,578,502.3,507.8,496.3,473,440.1,410.2,383.6,352.3,325.5,318.1,313.2,249.3,234.8,246.6,195.2,186.3,186.6,182.4,186.3,172.6,169.7,136.1,134.9,150.1
        Prime Minister's Office,779.1,736.3,668.2,1036,1004.4,692,746.4,670,653,374.2,380.9,317.8,290.2,258.8,273.3,240.3,203.3,193.6,176.1,151.4,135.8,141.4,135.4,143.3,151.3,134.1,108.5,122.7,121.2
